商品名,URL,画像URL,価格,数量,状态
バンダイ HG ブルーディスティニー 1号機 & 2号機 2個セット(組立済),https://jp.mercari.com/item/m42399943623,https://static.mercdn.net/c!/w=240/thumb/photos/m42399943623_1.jpg?1752420554,¥,"3,400",組立済み
RG　ガンダムエピオン　組立済,https://jp.mercari.com/item/m42221980056,https://static.mercdn.net/c!/w=240/thumb/photos/m42221980056_1.jpg?1752039553,¥,"3,333",組立済み
機動戦士ガンダム 鉄血のオルフェンズ ガンダムバルバトス 第6形態 1/100ス,https://jp.mercari.com/item/m18561779345,https://static.mercdn.net/c!/w=240/thumb/photos/m18561779345_1.jpg?1752418256,¥,"6,300",組立済み
SDガンダムプラモデル(組立済み)　まとめ売り　箱付き！,https://jp.mercari.com/item/m60510084274,https://static.mercdn.net/c!/w=240/thumb/photos/m60510084274_1.jpg?1751694870,¥,"4,000",組立済み
組立済み HG 1/144 GF13-017NJ シャイニングガンダム,https://jp.mercari.com/item/m64308543781,https://static.mercdn.net/c!/w=240/thumb/photos/m64308543781_1.jpg?1752400428,¥,"3,499",組立済み
組立済み HG 1/144 ガンダムグシオン,https://jp.mercari.com/item/m89619619549,https://static.mercdn.net/c!/w=240/thumb/photos/m89619619549_1.jpg?1751895207,¥,"2,699",組立済み
組立済み MG ガンダム Ver.3.0 地球連邦軍白兵戦用モビルスーツ,https://jp.mercari.com/item/m37502518735,https://static.mercdn.net/c!/w=240/thumb/photos/m37502518735_1.jpg?1751709362,¥,"5,699",組立済み
RG ガンダムrx-78 完成品　組立済み,https://jp.mercari.com/item/m42358518012,https://static.mercdn.net/c!/w=240/thumb/photos/m42358518012_1.jpg?1752281376,¥,"3,980",組立済み
ガンプラ【中古品/たばこ臭、汚れ】 HGUC 1/144 ガンダムGP03S ステイメン バンダイ ガンダム 99,https://jp.mercari.com/shops/product/mp8FCw2vTwjryuAB3CTpzX,https://assets.mercari-shops-static.com/-/small/plain/GsPPsHi2pLZZTY8xcQ9NiQ.jpg@webp,¥,"1,700",組立済み
HGAC 1/144 ガンダムアスクレプオス,https://jp.mercari.com/item/m18901949313,https://static.mercdn.net/c!/w=240/thumb/photos/m18901949313_1.jpg?1751207074,¥,"3,200",組立済み
HG ガンダム端白星,https://jp.mercari.com/item/m62618828429,https://static.mercdn.net/c!/w=240/thumb/photos/m62618828429_1.jpg?1748155763,¥,"1,700",組立済み
MG1/100 ストームブリンガーF.A 組立済み (素組み),https://jp.mercari.com/item/m25341692167,https://static.mercdn.net/c!/w=240/thumb/photos/m25341692167_1.jpg?1752282558,¥,"4,000",組立済み
ガンプラ 水星の魔女 エアリアル キャリバーン 組立済セット,https://jp.mercari.com/item/m86371615861,https://static.mercdn.net/c!/w=240/thumb/photos/m86371615861_1.jpg?1751623886,¥,"4,500",組立済み
【旧キット】1/2400ホワイトベース　ガンプラ　ジャンク　組立済み,https://jp.mercari.com/item/m44268334706,https://static.mercdn.net/c!/w=240/thumb/photos/m44268334706_1.jpg?1744981984,¥,"12,980",組立済み
【リバイバル】1/144ガンダム夏期迷彩塗装　ガンプラ　ジャンク　組立済み,https://jp.mercari.com/item/m91369477469,https://static.mercdn.net/c!/w=240/thumb/photos/m91369477469_1.jpg?1752413586,¥,"29,980",組立済み
【組立済プラモデル】1/144 HG ザクII F2型　連邦軍仕様,https://jp.mercari.com/item/m63899184468,https://static.mercdn.net/c!/w=240/thumb/photos/m63899184468_1.jpg?1751969999,¥,"3,500",組立済み
【EX】1/1700ホワイトベース　ガンプラ　ジャンク　組立済み,https://jp.mercari.com/item/m73493296241,https://static.mercdn.net/c!/w=240/thumb/photos/m73493296241_1.jpg?1751625458,¥,"29,980",組立済み
MG 量産型ゲルググ Ver.2.0 【一部組立】,https://jp.mercari.com/item/m63298687232,https://static.mercdn.net/c!/w=240/thumb/photos/m63298687232_1.jpg?1752130614,¥,"8,499",組立済み
【HGUC】RX-77ガンキャノン　ガンプラ　ジャンク　組立済み完成品,https://jp.mercari.com/item/m70487168813,https://static.mercdn.net/c!/w=240/thumb/photos/m70487168813_1.jpg?1751271995,¥,"7,980",組立済み
HG V2ガンダム アサルトバスター ジャンク,https://jp.mercari.com/item/m54688935828,https://static.mercdn.net/c!/w=240/thumb/photos/m54688935828_1.jpg?1752333563,¥,"2,222",組立済み
